raceId,year,gp_name,rain,sc_laps,vsc_laps,safety_car,total_sc
989,2018,Australian GP,0,0,0,0,0
990,2018,Bahrain GP,0,0,0,0,0
991,2018,Chinese GP,0,0,2,0,2
992,2018,Azerbaijan GP,0,3,0,1,3
993,2018,Spanish GP,0,0,0,0,0
994,2018,Monaco GP,0,0,0,0,0
995,2018,Canadian GP,0,0,0,0,0
996,2018,French GP,0,0,0,0,0
997,2018,Austrian GP,0,0,0,0,0
998,2018,British GP,0,0,0,0,0
999,2018,German GP,1,3,0,1,3
1000,2018,Hungarian GP,0,0,0,0,0
1001,2018,Belgian GP,1,6,0,1,6
1002,2018,Italian GP,0,0,0,0,0
1003,2018,Singapore GP,0,0,0,0,0
1004,2018,Russian GP,0,0,0,0,0
1005,2018,Japanese GP,1,2,0,1,2
1006,2018,United States GP,0,0,0,0,0
1007,2018,Mexican GP,0,0,0,0,0
1008,2018,Brazilian GP,1,5,0,1,5
1009,2018,Abu Dhabi GP,0,0,0,0,0
1010,2019,Australian GP,0,0,2,0,2
1011,2019,Bahrain GP,0,0,0,0,0
1012,2019,Chinese GP,0,5,0,1,5
1013,2019,Azerbaijan GP,0,3,0,1,3
1014,2019,Spanish GP,0,0,0,0,0
1015,2019,Monaco GP,0,0,0,0,0
1016,2019,Canadian GP,0,0,0,0,0
1017,2019,French GP,0,0,0,0,0
1018,2019,Austrian GP,0,0,0,0,0
1019,2019,British GP,0,0,0,0,0
1020,2019,German GP,1,12,0,1,12
1021,2019,Hungarian GP,0,0,0,0,0
1022,2019,Belgian GP,0,2,0,1,2
1023,2019,Italian GP,0,0,0,0,0
1024,2019,Singapore GP,0,4,0,1,4
1025,2019,Russian GP,0,0,3,0,3
1026,2019,Japanese GP,1,3,0,1,3
1027,2019,Mexican GP,0,0,0,0,0
1028,2019,United States GP,0,0,0,0,0
1029,2019,Brazilian GP,0,5,0,1,5
1030,2019,Abu Dhabi GP,0,0,0,0,0
1031,2020,Austrian GP,0,0,4,0,4
1032,2020,Styrian GP,1,4,0,1,4
1033,2020,Hungarian GP,1,8,0,1,8
1034,2020,British GP,0,4,0,1,4
1035,2020,70th Anniversary GP,0,0,0,0,0
1036,2020,Spanish GP,0,0,0,0,0
1037,2020,Belgian GP,0,0,4,0,4
1038,2020,Italian GP,0,5,0,1,5
1039,2020,Tuscan GP,0,9,0,1,9
1040,2020,Russian GP,0,0,0,0,0
1041,2020,Eifel GP,1,4,0,1,4
1042,2020,Portuguese GP,0,0,0,0,0
1043,2020,Emilia Romagna GP,0,0,3,0,3
1044,2020,Turkish GP,1,10,0,1,10
1045,2020,Bahrain GP,0,8,0,1,8
1046,2020,Sakhir GP,0,0,0,0,0
1047,2020,Abu Dhabi GP,0,0,0,0,0
1051,2021,Qatar GP,0,0,0,0,0
1052,2021,Bahrain GP,0,0,0,0,0
1053,2021,Emilia Romagna GP,1,4,8,1,12
1054,2021,Portuguese GP,0,0,0,0,0
1055,2021,Spanish GP,0,0,0,0,0
1056,2021,Monaco GP,0,0,0,0,0
1057,2021,Azerbaijan GP,0,6,0,1,6
1058,2021,Styrian GP,0,0,0,0,0
1059,2021,French GP,0,0,0,0,0
1060,2021,Austrian GP,0,0,0,0,0
1061,2021,British GP,0,5,0,1,5
1062,2021,Hungarian GP,1,3,0,1,3
1063,2021,Belgian GP,1,0,0,0,0
1064,2021,Dutch GP,0,0,0,0,0
1065,2021,Italian GP,0,5,0,1,5
1066,2021,Russian GP,1,5,0,1,5
1067,2021,Turkish GP,1,5,0,1,5
1069,2021,United States GP,0,6,0,1,6
1070,2021,Mexico City GP,0,0,0,0,0
